freq;vin;vout;tint;gain;dephase
9.97;0.6;1.48;-7462;7.8422093002;26.7826104
20;0.6;1.95;-905;10.2376672196;6.516
29.37;0.6;2;0;10.4575749056;0
51.11;0.6;2;0;10.4575749056;0
100;0.6;2.1;0;10.881360887;0
192;0.6;2.1;0;10.881360887;0
305;0.6;2;0;10.4575749056;0
400;0.6;2;13.37;10.4575749056;-1.92528
500;0.6;2;15.99;10.4575749056;-2.8782
600;0.6;2;16.45;10.4575749056;-3.5532
700;0.6;2;17.86;10.4575749056;-4.50072
800;0.6;2;18.65;10.4575749056;-5.3712
900;0.6;2;19.28;10.4575749056;-6.24672
1000;0.6;2;19.75;10.4575749056;-7.11
2000;0.6;2;12.48;10.4575749056;-8.9856
3000;0.6;2;15.8;10.4575749056;-17.064
4000;0.6;2;17.77;10.4575749056;-25.5888
5050;0.6;2;18.95;10.4575749056;-34.4511
6000;0.6;2;19.66;10.4575749056;-42.4656
7000;0.6;2;20.14;10.4575749056;-50.7528
8000;0.6;2;20.64;10.4575749056;-59.4432
9000;0.6;2;21.01;10.4575749056;-68.0724
10020;0.6;2;21.34;10.4575749056;-76.977648
11000;0.6;2;21.63;10.4575749056;-85.6548
12000;0.6;1.85;21.98;9.7804095604;-94.9536
13000;0.6;1.85;22.27;9.7804095604;-104.2236
14000;0.6;1.8;22.56;9.5424250944;-113.7024
15000;0.6;1.8;22.7;9.5424250944;-122.58
16000;0.6;1.75;22.92;9.2977359661;-132.0192
17000;0.6;1.7;23.07;9.0459534199;-141.1884
18000;0.6;1.6;23.29;8.5193746454;-150.9192
20000;0.6;1.44;23.72;7.6042248342;-170.784
26000;0.62;1;24.52;4.15216621;-229.5072
