RealDist;Pol;Dist;DeltaDist;Gain;DeltaGain;Phase;DeltaPhase
2.201;HH;2.201;0.011;-1.3969;0.4531;-7.8;9.1
2.201;HV;2.247;0.026;-14.0225;1.5631;-73.1;13.9
2.201;VH;2.288;0.036;-14.1252;2.1342;-92.4;87.1
2.201;VV;2.195;0.014;-1.8092;0.3614;147.7;7.3
2.229;HH;2.223;0.017;-1.2961;0.3128;-11.0;9.3
2.229;HV;2.313;0.041;-13.3133;1.5806;-71.5;14.0
2.229;VH;2.317;0.038;-14.7132;2.3655;-93.3;87.3
2.229;VV;2.246;0.023;-1.8941;0.2935;133.2;12.3
2.255;HH;2.267;0.02;-1.6825;0.4407;-4.0;5.2
2.255;HV;2.305;0.038;-14.2542;1.2031;-59.7;18.3
2.255;VH;2.359;0.049;-13.4975;1.8296;-95.4;33.8
2.255;VV;2.245;0.019;-1.4372;0.3531;152.1;7.8
2.285;HH;2.272;0.021;-1.9684;0.4278;-3.23;9.9
2.285;HV;2.398;0.039;-14.3538;1.1613;-83.6;16.9
2.285;VH;2.379;0.052;-14.1736;1.5638;-95.2;60.2
2.285;VV;2.287;0.023;-1.6621;0.3498;177.4;12.4
